Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
531;532;16.25493;8850.08851337433
532;533;24.53592;8866.34344768524
533;534;25.15829;8890.87937068939
534;535;16.73774;8916.03765773773
535;536;16.34621;8932.77540111542
536;537;16.98812;8949.12161540985
537;538;16.60101;8966.10974025726
538;539;16.70905;8982.71074581146
539;540;17.1503;8999.41979503632
540;541;15.63675;9016.57009410858
541;542;17.14854;9032.20684337616
542;543;17.06438;9049.35538005829
543;544;16.4205;9066.41976070404
544;545;15.75651;9082.84025669098
545;546;17.5246;9098.59677028656
546;547;17.56563;9116.12136554718
547;548;15.94143;9133.68699741364
548;549;16.00405;9149.62843036652
549;550;17.39555;9165.63248157501
550;551;16.45911;9183.02803325653
551;552;16.70565;9199.48714160919
552;553;15.83192;9216.19279384613
553;554;17.07171;9232.02471065521
554;555;16.53244;9249.09642314911
555;556;17.00346;9265.62885951996
556;557;16.49601;9282.63232326508
557;558;16.51662;9299.12833118439
558;559;17.76068;9315.64494800568
559;560;15.54678;9333.40562725067
560;561;17.20745;9348.95240592957
561;562;17.19976;9366.15985298157
562;563;16.14434;9383.35961723328
563;564;16.03666;9399.50396156311
564;565;17.31924;9415.54062461853
565;566;17.05549;9432.8598651886
566;567;16.70395;9449.91535758972
567;568;16.70574;9466.61930656433
568;569;16.88083;9483.325050354
569;570;16.06832;9500.20588302612
570;571;16.54796;9516.27420425415
571;572;17.08563;9532.82216835022
572;573;16.62366;9549.90779685974
573;574;16.31376;9566.5314540863
574;575;16.65649;9582.84521865845
575;576;16.63836;9599.50170898438
576;577;18.58369;9616.1400642395
577;578;14.24827;9634.72375679016
578;579;19.20273;9648.97202968597
579;580;16.18467;9668.17475795746
580;581;17.63691;9684.35942935944
581;582;13.83243;9701.99633693695
582;583;17.04145;9715.82876682281
583;584;17.32376;9732.87021350861
584;585;18.70872;9750.19396877289
585;586;14.76388;9768.90268421173
586;587;16.7295;9783.66655921936
587;588;17.31502;9800.39605712891
588;589;15.54598;9817.71107673645
589;590;19.06471;9833.25705432892
590;591;13.68205;9852.32176303864
591;592;17.78294;9866.00380897522
592;593;17.22999;9883.78675079346
593;594;18.54302;9901.01674079895
594;595;14.73228;9919.55976486206
595;596;16.9469;9934.29203987122
596;597;17.14522;9951.23893547058
597;598;16.42002;9968.38415527344
598;599;15.50298;9984.80417060852
599;600;16.4504;10000.3071479797
600;601;16.46227;10016.7575492859
601;602;17.06596;10033.2198238373
602;603;17.45267;10050.2857837677
603;604;15.14709;10067.7384529114
604;605;17.70805;10082.8855400085
605;606;16.03564;10100.5935916901
606;607;18.15431;10116.6292324066
607;608;17.2375;10134.7835445404
608;609;15.61437;10152.0210399628
609;610;15.15614;10167.6354064941
610;611;17.71918;10182.7915506363
611;612;18.52653;10200.5107316971
612;613;15.45675;10219.0372629166
613;614;16.4064;10234.4940128326
614;615;16.26184;10250.9004135132
615;616;16.95186;10267.1622486115
616;617;16.56733;10284.1141052246
617;618;16.12201;10300.6814365387
618;619;19.9924;10316.8034496307
619;620;13.88732;10336.7958450317
